PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06skk,4k3/r1p5/5Kpp/2N2b2/2BR4/1Pr4P/8/8 b - - 2 32,c3f3 c4f7 e8f8 d4d8,1179,76,100,402,endgame mate mateIn2 short,https://lichess.org/NEmZ3LEz/black#64,
06spS,2k4r/2p2p2/pp2pn2/3p3q/3P2n1/2P1PQB1/PP3PKN/6R1 w - - 3 27,h2g4 h5h3,1536,105,75,217,mate mateIn1 middlegame oneMove,https://lichess.org/YOtJ2mrU#53,
06syA,r3q2k/pp3rpp/8/n4n2/7P/BBN2N2/PPP3PR/R2QK3 w Q - 2 19,e1f2 e8e3 f2f1 f5g3,1177,77,88,417,mate mateIn2 middlegame short,https://lichess.org/7sXoN7ue#37,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
06t6f,2r3k1/pp1b1p1r/4pPpq/3pP3/3P2Q1/2P2R2/P1B4P/5RK1 w - - 7 25,f3g3 h6h2,808,78,98,1502,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/CcgPQghn#49,
06tBh,4N3/7R/K2kpp2/P3p3/4P1P1/5r2/7p/6b1 b - - 3 45,d6c6 h7c7,712,107,89,709,endgame master mate mateIn1 oneMove,https://lichess.org/yYlcPZ7P/black#90,
06tFz,6k1/1pp2R2/p5p1/2Pr2Q1/P7/3q4/6P1/5R1K b - - 0 34,d5g5 f7f8 g8h7 f1f7 h7h6 f8h8,932,81,66,43,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/ZsOMvKWg/black#68,
06tOn,6k1/3R4/3B3p/3P1p2/2pb4/3nqP2/1NQ3PP/5K2 w - - 1 35,b2c4 e3e1,1660,83,87,1095,master mate mateIn1 middlegame oneMove,https://lichess.org/77TQqNHE#69,
06tPB,r4rk1/1pp1np2/p2p3p/4p1P1/2B5/P1P5/1PP2P2/2K3RR b - - 0 19,h6g5 g1g5 e7g6 g5g6,1406,80,87,155,endgame kingsideAttack mate mateIn2 pin short,https://lichess.org/emNDVVbr/black#38,
06ti3,r2qr1k1/ppp1bB1p/6pB/4pn2/4N3/6Q1/PPP5/2K4R b - - 0 21,g8f7 g3b3 d8d5 b3d5,1906,78,71,140,mate mateIn2 middlegame short,https://lichess.org/yuBMp6kn/black#42,
06u0X,2r3k1/1R6/3r1p2/8/1p6/5N2/PP3PPP/3R2K1 w - - 0 30,d1d6 c8c1 d6d1 c1d1 f3e1 d1e1,400,97,100,200,backRankMate endgame long mate mateIn3,https://lichess.org/92WOutyS#59,
06u4U,r2q1r1k/ppp3pp/5n2/b7/2Bp1NbQ/2P5/PP4PP/R1B2R1K b - - 0 18,d4c3 f4g6,926,82,88,256,master mate mateIn1 oneMove opening pin,https://lichess.org/HdSGdrIa/black#36,Vienna_Game Vienna_Game_Max_Lange_Defense
06u87,1k1r1r2/2p5/Q1p4p/2P1qbp1/8/4p2P/P4PP1/1R3RK1 b - - 1 25,f5b1 f1b1 e5b2 b1b2,872,101,93,285,endgame mate mateIn2 short,https://lichess.org/imNuANNb/black#50,
06uW3,r1bq3r/ppnp1p2/3kp3/2p1QR1p/8/3P4/PPP3PP/RNb3K1 b - - 1 14,d6c6 e5c5,890,75,100,156,mate mateIn1 middlegame oneMove,https://lichess.org/lyqzAgxs/black#28,Sicilian_Defense Sicilian_Defense_Other_variations
06ugD,r2q2nr/ppBk1Bpp/8/2pN4/2NpP3/8/PPb2PPP/R3K2R b KQ - 1 17,d8h4 c4e5 d7c8 f7e6,1341,74,94,24130,mate mateIn2 middlegame short,https://lichess.org/l3tiIHeS/black#34,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
